customer_id,name,email,signup_date,location_id
1,Stephanie Garcia,drew32@example.net,2022-09-18,408
2,Cheyenne Johnson,benderwilliam@example.net,2021-08-07,91
3,Rodney Reilly,halecharles@example.org,2021-01-05,121
4,Leah Ramos,carolmorris@example.com,2022-03-04,142
5,Brett Powers,scottjoe@example.net,2021-04-19,407
6,Brenda White,erikabutler@example.org,,170
7,Brandon Phillips,gcain@example.org,2021-06-02,30
8,Jonathan Baker,sthompson@example.org,2021-01-01,22
9,Katie Paul,cassandra55@example.org,2022-12-10,150
10,Carla Mills,nicholas52@example.com,2022-10-19,331
11,Laura Martin,candicealvarez@example.com,2022-01-03,478
12,Justin Collins,medinanina@example.net,2022-05-28,197
13,Judith Murphy,smithsteven@example.com,2022-12-04,422
14,Levi Armstrong,iramirez@example.net,2022-02-20,29
15,Dorothy Taylor,ehunter@example.com,2022-08-18,234
16,Ronald Leach,snowsara@example.com,2022-10-26,481
17,Scott Aguirre,darlenecook@example.org,2022-12-29,60
18,Patrick Hood,john03@example.net,2022-04-05,30
19,Jessica Stanton,khinton@example.com,2021-01-25,221
20,Eric Mendoza,krista98@example.net,2022-12-21,410
21,Austin Reid,,2021-09-04,189
22,Richard Bowen,ashley86@example.com,2022-04-05,406
23,Yolanda Jarvis,pclements@example.net,2021-11-13,489
24,Erin Wiley,pittssteven@example.com,2022-10-12,169
25,Steven Bailey,scottdaniel@example.com,2022-01-04,120
26,Mallory Butler,cartermartin@example.net,2022-11-06,137
27,Emily Hines,vhayes@example.org,2021-08-31,232
28,Monique Livingston,amandacabrera@example.com,2021-03-20,245
29,Melissa Welch,tyroneschroeder@example.com,2022-11-14,426
30,Brandon Lindsey,manningglenn@example.org,2022-07-20,124
31,David Ward,emilyroth@example.org,2022-07-24,177
32,Jessica Sweeney,kristy24@example.com,2021-06-25,407
33,Henry Price,holtalisha@example.org,2021-04-19,472
34,Chad Figueroa,matthew73@example.org,2022-02-20,13
35,Sarah Ramirez,kwade@example.com,2022-03-12,454
36,William Kennedy,stephanielee@example.org,,425
37,Joshua Tucker,markbrennan@example.org,2021-10-21,377
38,Crystal Jones,colincampos@example.org,2022-02-23,99
39,Jordan Krueger,joelwhite@example.net,2021-08-27,422
40,Morgan Ellis,scott09@example.com,2022-06-19,25
41,Joshua Gonzales,,2022-02-04,290
42,Ryan Young,mark29@example.com,2021-05-21,12
43,Stephanie Arnold,kchen@example.net,2022-02-19,280
44,Dale Shepherd,caitlyn82@example.com,2022-02-13,216
45,Brooke Murray,timothyjones@example.com,2022-03-15,150
46,Dr. Mary Holden MD,william45@example.com,2022-10-05,282
47,Sherri Young,justin89@example.org,2022-10-28,452
48,Kristen Webb,shirley83@example.com,2022-11-24,288
